id;type;name;link;description;icon;longitude;latitude
131;Feature;Sanex 018;;;PumpSVG-03;-16.583325;13.283436
132;Feature;Sanex 020;;;PumpSVG-02;-15.248117;13.556156
133;Feature;Sanex 021;;;PumpSVG-04;-15.239114;13.561919
134;Feature;Sanex 022;;;PumpSVG-04;-16.630761;13.190553
135;Feature;Sanex 023;;;PumpSVG-03;-16.305722;13.55195
136;Feature;Sanex 024;;;PumpSVG-03;-16.252661;13.588506
137;Feature;Sanex 025;;;PumpSVG-02;-16.358142;13.525583
138;Feature;Sanex 026;;;PumpSVG-02;-16.221039;13.578922
139;Feature;Sanex 027;;;PumpSVG-02;-16.323586;13.54025
140;Feature;Sanex 028;;;PumpSVG-02;-16.360283;13.585683
141;Feature;Sanex 029;;;PumpSVG-02;-16.241428;13.556547
142;Feature;Sanex 030;;;PumpSVG-03;-16.7114;13.404847
143;Feature;Sanex 032;;;PumpSVG-03;-16.55315;13.287664
144;Feature;Sanex 039;;;PumpSVG-04;-16.2795;13.5332
145;Feature;Sanex 048;;;PumpSVG-02;-16.00777;13.52407
146;Feature;Mbola Mbugani Pump;;;PumpSVG-02;32.825433;-5.147756
147;Feature;Ulimakafu Pump;;;PumpSVG-04;32.333801;-5.063252
148;Feature;Mahenge Pump;;;PumpSVG-04;32.323384;-5.110018
149;Feature;Mbiti Chini Pump;;;PumpSVG-02;32.330315;-4.594434
150;Feature;Mbola B Kichangani site Pump;;;PumpSVG-02;32.342908;-5.01336
151;Feature;Mbola B Songambele Pump;;;PumpSVG-03;32.353048;-4.594098
152;Feature;Mbola A Shuleni site Pump;;;PumpSVG-02;32.355384;-5.000701
153;Feature;Kategile A Pump;;;PumpSVG-04;32.361762;-4.571117
154;Feature;Kategile B Pump;;;PumpSVG-04;32.355695;-4.554599
155;Feature;Makunguwe Pump;;;PumpSVG-03;32.354394;-4.554433
156;Feature;Msimba Centre B Pump;;;PumpSVG-03;32.334365;-4.5458
